id,heading,location,trade_type,date,timestamp,price,coords,url,img
296568397,Delonghi icona vintage espressomaskin,Billingstad,Til salgs,27.03.23,1679942400000,400,"59.86827,10.48303",https://www.finn.no/bap/forsale/ad.html?finnkode=296568397,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/27/7/296/568/397_50096954.jpg
296840485,Sage The Smart Grinder Kaffekvern - lite brukt,Oslo,Til salgs,30.03.23,1680131460000,2700,"59.92109,10.8144",https://www.finn.no/bap/forsale/ad.html?finnkode=296840485,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/29/5/296/840/485_1258655346.jpg
296939303,Wilfa  WSCG kaffekvern,Haslum,Til salgs,30.03.23,1680201900000,550,"59.90648,10.55498",https://www.finn.no/bap/forsale/ad.html?finnkode=296939303,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/30/3/296/939/303_810562626.jpg
296941977,PUQPRESS espresso tamper,Asker,Til salgs,30.03.23,1680203280000,6000,"59.8453,10.43939",https://www.finn.no/bap/forsale/ad.html?finnkode=296941977,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/30/7/296/941/977_624578441.jpg
297036775,Delonghi kaffemaskin,Kolbotn,Til salgs,31.03.23,1680280260000,1900,"59.81116,10.79439",https://www.finn.no/bap/forsale/ad.html?finnkode=297036775,https://images.finncdn.no/dynamic/default/2023/3/vertical-0/31/5/297/036/775_1314480323.jpg
297080914,Philips kaffemaskin,Oslo,Til salgs,01.04.23,1680335820000,6000,"59.93842,10.75534",https://www.finn.no/bap/forsale/ad.html?finnkode=297080914,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/01/4/297/080/914_1057981547.jpg
190556907,Espressomaskin Ascaso Uno Prof,Oslo,Til salgs,01.04.23,1680346980000,1000,"59.85288,10.80367",https://www.finn.no/bap/forsale/ad.html?finnkode=190556907,https://images.finncdn.no/dynamic/default/2021/11/vertical-0/18/7/190/556/907_1239985206.jpg
297141787,ESPRESSO  KAFFEMASKINER  KR 200 PR STK,Ski,Til salgs,01.04.23,1680363300000,200,"59.71409,10.83461",https://www.finn.no/bap/forsale/ad.html?finnkode=297141787,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/01/7/297/141/787_1458057502.jpg
297144767,Espresso Aeroccino melkeskummer,Oslo,Til salgs,01.04.23,1680363840000,500,"59.93105,10.81506",https://www.finn.no/bap/forsale/ad.html?finnkode=297144767,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/01/7/297/144/767_673075890.jpg
297203565,"DeLonghi Magnifica S kaffemaskin, ett år gammel, selges for kun kr 2150,-",Oslo,Til salgs,02.04.23,1680428160000,2150,"59.90165,10.67827",https://www.finn.no/bap/forsale/ad.html?finnkode=297203565,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/02/5/297/203/565_94531736.jpg
297277147,Minuto espresso machine,Oslo,Til salgs,02.04.23,1680454080000,1100,"59.9275,10.7679",https://www.finn.no/bap/forsale/ad.html?finnkode=297277147,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/02/7/297/277/147_1783573173.jpg
297422763,Delonghi espressomaskin,Oslo,Til salgs,03.04.23,1680548820000,800,"59.9539,10.7706",https://www.finn.no/bap/forsale/ad.html?finnkode=297422763,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/03/3/297/422/763_310351114.jpg
297506706,Sage oracle espressomaskin,Drammen,Til salgs,04.04.23,1680619320000,13000,"59.74315,10.21556",https://www.finn.no/bap/forsale/ad.html?finnkode=297506706,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/04/6/297/506/706_956696376.jpg
297552264,Espresso & Cappuccino Coffee machine,Oslo,Til salgs,05.04.23,1680676380000,550,"59.9562,10.66901",https://www.finn.no/bap/forsale/ad.html?finnkode=297552264,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/04/4/297/552/264_139136735.png
296560264,KitchenAid Artisan kaffemaskin,Langhus,Til salgs,05.04.23,1680700260000,5000,"59.76554,10.86333",https://www.finn.no/bap/forsale/ad.html?finnkode=296560264,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/05/4/296/560/264_545805888.jpg
272526842,Weber HG-1 håndkvern 83mm Mazzer,Oslo,Til salgs,09.04.23,1681061580000,7500,"59.9157,10.75869",https://www.finn.no/bap/forsale/ad.html?finnkode=272526842,https://images.finncdn.no/dynamic/default/2022/9/vertical-0/10/2/272/526/842_184103826.jpg
298113190,60 mm filter til espressomaskin,Oslo,Til salgs,10.04.23,1681111560000,70,"59.93241,10.76007",https://www.finn.no/bap/forsale/ad.html?finnkode=298113190,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/10/0/298/113/190_341929324.jpg
298110781,Rancilio Rocky espressokvern / kaffekvern selges,Oslo,Til salgs,10.04.23,1681110480000,2500,"59.95367,10.68969",https://www.finn.no/bap/forsale/ad.html?finnkode=298110781,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/10/1/298/110/781_760373352.jpg
298179144,Kaffemaskin,Bekkestua,Til salgs,10.04.23,1681128240000,300,"59.92194,10.5781",https://www.finn.no/bap/forsale/ad.html?finnkode=298179144,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/10/4/298/179/144_949329098.jpg
298212581,Krups kaffemaskin,Stabekk,Til salgs,10.04.23,1681135080000,250,"59.9097,10.6029",https://www.finn.no/bap/forsale/ad.html?finnkode=298212581,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/10/1/298/212/581_1681659381.jpg
297048538,Knock box espresso,Nesbru,Til salgs,11.04.23,1681222080000,300,"59.85901,10.49373",https://www.finn.no/bap/forsale/ad.html?finnkode=297048538,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/11/8/297/048/538_456106609.jpg
298491492,Kaffemaskin med vannuttak (Egnet for bedrifter),Oslo,Til salgs,12.04.23,1681289040000,10000,"59.9081,10.7218",https://www.finn.no/bap/forsale/ad.html?finnkode=298491492,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/12/2/298/491/492_871633099.jpg
298524167,kaffemaskin,Oslo,Til salgs,12.04.23,1681301100000,350,"59.932,10.66841",https://www.finn.no/bap/forsale/ad.html?finnkode=298524167,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/12/7/298/524/167_1344526281.jpg
276975552,SSP High Uniformity 98mm knivsett,Oslo,Til salgs,13.04.23,1681399740000,4500,"59.9539,10.7706",https://www.finn.no/bap/forsale/ad.html?finnkode=276975552,https://images.finncdn.no/dynamic/default/2022/10/vertical-0/14/2/276/975/552_1034621097.jpg
298699648,Sage barista express kaffemaskin,Oslo,Til salgs,13.04.23,1681404720000,4800,"59.9075,10.7739",https://www.finn.no/bap/forsale/ad.html?finnkode=298699648,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/13/8/298/699/648_1610446732.jpg
298735810,Isomac Milano espresso maskin,Oslo,Til salgs,13.04.23,1681420380000,1800,"59.9075,10.7739",https://www.finn.no/bap/forsale/ad.html?finnkode=298735810,https://images.finncdn.no/dynamic/default/2023/4/vertical-0/13/0/298/735/810_1732878043.jpg
233336741,kaffemas,Oslo,Til salgs,14.04.23,1681466520000,600,"59.9259,10.76864",https://www.finn.no/bap/forsale/ad.html?finnkode=233336741,https://images.finncdn.no/dynamic/default/2021/9/vertical-0/27/1/233/336/741_1739366550.jpg
